from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,67972,0.013948256,0.160404196,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71371,0.003504849,0.608716891,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14219,1.56e-08,0.974181327,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15979,0.003119213,0.311458495,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,237459,0.002424044,0.444691663,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,57764,0.00810313,0.317892273,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,77976,1.68e-08,0.421944651,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12952,0.00030703,0.605282407,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16000,0.030681783,0.361740154,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67500,1.12e-05,0.26668379,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19073,0.001047329,0.393618503,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,338359,0.016527694,0.263993021,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71361,0.027357188,0.298866106,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67895,0.012145611,0.223467547,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20503,0.030576276,0.803896497,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,216344,0.011302536,0.165330042,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67245,0.000214934,0.364761059,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,94176,0.010602541,0.696831896,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,382427,0.003546287,0.373259135,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,64050,0.031631924,0.23227548,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17246,0.001454897,0.207001067,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,237542,2.27e-05,0.332321493,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21664,1.47e-06,0.524864367,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68212,0.000425215,0.226559849,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12834,0.039007294,0.47245451,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18641,2.7e-05,0.487613908,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,72129,0.000862288,0.192752931,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,103573,0.008658086,0.33312615,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68044,0.003477428,0.324966233,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17449,0.003047675,0.322896163,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19052,6.21e-07,0.331384226,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15525,0.001729569,0.244140796,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,104625,3.17e-06,0.323238706,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,84035,0.01349349,0.169115918,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66213,0.039555729,0.237281188,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12227,0.000142644,1.107722009,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67430,0.023942766,1.231764981,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,29856,0.011010228,0.207672586,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18293,0.014176057,0.183789529,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,76784,8.63e-05,0.302283295,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,171212,0.000344914,0.269578782,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,107476,0.00014526,0.497773785,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20787,0.022874654,0.354502119,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66912,0.009386287,0.195802736,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,76820,6.09e-07,0.530514537,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14674,0.000291166,0.27869101,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,105014,0.038544064,0.133041194,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22169,0.011485245,0.718592445,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,58185,0.034655165,0.968571835,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20135,0.001308347,0.722967769,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,104111,0.0269293,0.28709904,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,668212,3.45e-09,0.751696767,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13382,0.000242273,0.260009771,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,276952,0.000825073,0.977404438,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18015,0.0006452,0.311690903,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66997,0.004664501,0.174098656,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,58222,0.010799887,0.828429073,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14813,1.9e-11,2.329726263,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,260302,0.036230029,0.399613713,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74148,0.000590923,0.334869982,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11484,0.001475479,0.506860046,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,76566,5.47e-05,0.668998608,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20877,0.008849374,1.567583606,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,77579,2.67e-09,0.966023524,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21973,0.0008187,2.381096896,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21429,0.03910595,0.152293924,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,75689,0.006646337,0.59018762,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68087,0.022007285,0.27194556,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,238276,0.044115853,0.654897373,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,104886,0.003647016,0.562196594,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18080,0.019513467,0.200700306,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,30056,0.001867343,0.416306823,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20716,0.022152323,0.859677528,spaceflight_v_ground_control,spaceflight,ground_control
