from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,217039,0.044613275,-0.134701866,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20425,0.027882014,-0.407355709,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71943,0.019224743,-0.327533987,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,104836,0.000981638,-0.269574817,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16570,0.034277448,-0.219414567,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,78943,0.02577765,-0.175294845,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13207,0.000161403,-0.233282215,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,445007,0.004031642,-0.27607965,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71947,0.041054303,-0.13448542,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,192897,0.000748204,-0.468725705,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14635,0.023017421,-0.382317495,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,217337,0.0329235,-0.185594274,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16562,0.004306981,-0.210417694,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,380714,5.23e-08,-0.426098832,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22627,0.008196149,-0.151794501,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,110172,0.000119567,-0.257064531,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74479,0.022127035,-0.248341375,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,217140,5.63e-05,-0.323987265,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,217166,0.00416212,-0.397715577,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20851,9.94e-08,-0.556919347,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,72469,0.000207202,-0.54489895,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,108800,0.005011612,-0.181230187,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20334,0.010052373,-0.195274498,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20741,0.011628599,-0.178854491,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,64010,0.019959725,-0.247538062,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19042,0.031950818,-0.137228724,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17420,0.000398889,-0.254138351,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,53612,0.014250382,-0.195116377,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20384,0.000246929,-0.386824211,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,64075,0.004472659,-0.653380533,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,217893,0.00051213,-0.172962754,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,73086,4.64e-07,-0.568701074,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,217830,0.042748825,-0.348994632,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,65256,0.002580369,-0.400782154,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,73828,0.0057871,-0.250488629,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,171210,0.04253867,-0.320890943,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68737,0.025075933,-0.192623187,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,72805,0.005430916,-0.18147567,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14137,1.69e-07,-0.556708747,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20354,0.00062425,-0.272460986,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14120,2.78e-20,-0.762371032,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19206,5.99e-05,-0.398364171,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66129,0.001169088,-0.173466126,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67399,0.016465387,-0.202732828,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67433,0.000651867,-0.207232793,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16195,0.044483593,-0.124022911,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,353187,0.00027076,-0.490261714,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12325,2.26e-12,-0.397857628,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12159,3.12e-07,-0.878321515,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68177,0.002425536,-0.427035224,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67955,0.000121747,-0.248213003,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74195,0.004619447,-0.179063917,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12759,0.00149496,-0.420151653,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12177,0.009735095,-0.223861762,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20410,0.00398122,-0.329732296,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,239170,0.033042503,-0.187909561,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,50789,0.034528783,-0.175192417,spaceflight_v_ground_control,spaceflight,ground_control
