identifier,name
278304,Zfp385c
12301,Cacybp
76779,Cluap1
69747,Zswim7
327942,Pigl
17991,Ndufa2
66449,Pam16
83396,Glis2
12864,Cox6c
83675,Bicc1
268470,Ube2z
72477,Tmem87b
17222,Anapc1
17289,Mertk
22088,Tsg101
246694,Hps5
26407,Map3k4
234839,Piezo1
68718,Rnf166
105522,Ankrd28
237615,Ankrd52
53871,Pkd2l2
66384,Srp19
268752,Wdfy2
78287,Rbsn
64658,Mrps25
27369,Dguok
100072,Camta1
12977,Csf1
229707,Strip1
16560,Kif1a
67863,Slc25a11
11448,Chrne
66531,Cmc2
231600,Chfr
15399,Hoxa2
21766,Tex261
67544,Fam120b
21374,Tbp
19170,Psmb1
18567,Pdcd2
13388,Dll1
78688,Nol3
234686,Fhod1
277973,Slc9a5
234683,Elmo3
20855,Stc1
74356,4931428F04Rik
67971,Tppp3
17686,Msh3
66320,Tmem208
104394,E2f4
20932,Surf4
20931,Surf2
27362,Dnajb9
234344,Naf1
22612,Yes1
19046,Ppp1cb
70231,Gorasp2
66637,Tsen15
76740,Efr3a
59005,Trappc2l
257633,Acsf3
13680,Ddx19a
50917,Galns
14461,Gata2
69379,C8g
12496,Entpd2
227624,Rabl6
19215,Ptgds
59022,Edf1
69454,Clic3
18146,Npdc1
30839,Fbxw5
50799,Slc25a13
22196,Ube2i
68327,Tsr3
74154,Unkl
233328,Lrrk1
56847,Aldh1a3
109711,Actn1
64383,Sirt2
15388,Hnrnpl
70769,Nolc1
213819,Casd1
215748,Cnksr3
53332,Mtmr1
15354,Hmgb3
17756,Map2
74519,Cyp2j9
11303,Abca1
66536,Nipsnap3b
66192,Lage3
27643|100169864,Ubl4a|Gm44504
14567,Gdi1
70097,Sash1
17873,Gadd45b
27218,Slamf1
66220,Zdhhc12
13804,Endog
13058,Cybb
57437|628040,Golga7|Gm6829
22439,Xk
76477,Pcolce2
12506,Cd48
270166,Clpx
67976,Trabd
83456,Mov10l1
69440,Dennd6b
12522,Cd83
70008,Ace2
14939,Gzmb
625018,C4a
11596,Ager
12915,Atf6b
81701,Egfl8
18132,Notch4
54397,Ppt2
260297,Prrt1
54197,Rnf5
329274,Fam163a
381356,Cacfd1
15273,Hivep2
11863,Arnt
16398,Itga2
17434,Mocs2
66176,Nat9
16956,Lpl
11974,Atp6v0e
57908,Zfp318
106763,Ttbk1
20807,Srf
14462,Gata3
16776,Lama5
70358,Steap1
74051,Steap2
15481,Hspa8
321007,Serac1
72621,Pdzd11
19166,Psma2
75398,Mrpl32
84505,Setdb1
71790,Anxa9
11864,Arnt2
229589,Prune1
76893,Cers2
12343,Capza2
67220,Plekho1
22365,Vps45
70767,Prpf3
66471,Anp32e
226548,Aph1a
68652,Tab2
67418,Ppil4
12793,Cnih1
13860,Eps8
20933,Med22
20930,Surf1
66999,Med28
110391,Qdpr
14714,Gnrh1
21960,Tnr
18412,Sqstm1
18024,Nfe2l2
20183,Rxrg
20181,Rxra
229595,Adamtsl4
80891,Fcrls
67763,Prpsap1
58227,Fam184b
54392,Ncapg
209707|100041576,Lcorl|Gm3414
16993,Lta4h
71761,Amdhd1
56431,Dstn
26914,Macroh2a1
114674,Gtf2ird2
69168,Bola1
80909,Castor2
14129,Fcgr1
17969,Ncf1
22411,Wnt11
11566,Adss
69428,1700016C15Rik
50905,Il17rb
12289,Cacna1d
218865,Chdh
56249,Actr8
76612,Lrrc27
57740,Stk32c
14272,Fnta
72198,Mtrex
16803,Lbp
12614,Celsr1
14247,Fli1
243362,Stard13
215303,Camk1g
215193,Utp25
15483,Hsd11b1
329324,Syt14
14991,H2-M3
74365,Lonrf3
67126,Atp5e
57314,Nelfcd
545486,Tubb1
64138,Ctsz
66390,Prelid3b
214791,Sertad4
22209,Ube2a
11740,Slc25a5
67821,Atp1b4
66496,Ppdpf
16536,Kcnq2
13628,Eef1a2
73368,Col20a1
102866,Pls3
77015,Mpped2
67050,Nkap
54405,Ndufa1
13557,E2f3
12946,Cr1l
67533,Ppfibp1
17221,Cd46
12490,Cd34
67759,Plgrkt
60533,Cd274
66596,Gtf3a
76366,Mtif3
140887,Lnx2
226419,Dyrk3
17164,Mapkapk2
16784,Lamp2
54138,Atxn10
239554,Foxred2
55944,Eif3d
15081,H3f3b
18141,Nup50
271305,Phf21b
67042,Ift27
23970,Pacsin2
12763,Cmah
223723,Ttll12
12124,Bik
64706,Scube1
268741,Tox4
68735,Mrps18c
